Grambank ID	Abbreviation	Question	Proto-language	Finding from Historical Linguistics	Historical Linguistics sources	Parsimony result (Glottolog-tree)	ML result (Glottolog-tree)	Parsimony result (Gray et al 2009-tree)	ML result (Gray et al 2009-tree)
GB022	ARTPre	Are there prenominal articles?	Proto-Polynesian	Present	\citet[xiv]{clark1976aspects}, \citet[23]{chung1978}, \citet[53]{clark1976aspects} , \citet[136]{crowley1985common}	True Positive	True Positive	True Positive	True Positive
GB023	ARTPost	Are there postnominal articles?	Proto-Oceanic	Absent	\citet[112]{pawley1973some}, \citet[498]{ross2004morphosyntactic}	True Negative	True Negative	True Negative	True Negative
GB025b	DEMOrder_N-Dem	NA	Proto-Oceanic	Present	\citet[72]{lynchrosscrowley_proto_grammar_oceanic}	True Positive	True Positive	True Positive	True Positive
GB028	Clusivity	Is there a distinction between inclusive and exclusive?	Proto-Polynesian	Present	\citet[4]{marck2000 encyclo}	True Positive	True Positive	True Positive	True Positive
GB028	Clusivity	Is there a distinction between inclusive and exclusive?	Proto-Oceanic	Present	\citet[112]{pawley1973some}, \citet[184]{crowley1985common}, \citet[500]{ross2004morphosyntactic}, \citet[67, 75]{lynchrosscrowley_proto_grammar_oceanic}	True Positive	True Positive	True Positive	True Positive
GB030	PRO3PGender	Is there a gender distinction in independent 3rd person pronouns?	Proto-Oceanic	Absent	\citet[498]{ross2004morphosyntactic}	True Negative	True Negative	True Negative	True Negative
GB031	PRODualAug	Is there a dual or unit augmented form (in addition to plural or augmented) for all person categories in the pronoun system?	Proto-Polynesian	Present	\citet[4]{marck2000 encyclo}	True Positive	True Positive	True Positive	True Positive
GB035	DEMDistContrast	Are there three or more distance contrasts in demonstratives?	Proto-Polynesian	Present	\citet[77]{clark1976aspects}	True Positive	True Positive	True Positive	True Positive
GB047	NMZActionState	Is there a productive morphological pattern for deriving an action/state noun from a verb?	Proto-Oceanic	Present	\citet[70]{lynchrosscrowley_proto_grammar_oceanic}	True Positive	True Positive	True Positive	True Positive
GB051	GenderSex	Is there a gender/noun class system where sex is a factor in class assignment?	Proto-Oceanic	Absent	\citet[498]{ross2004morphosyntactic}	True Negative	True Negative	True Negative	True Negative
GB052	GenderShape	Is there a gender/noun class system where shape is a factor in class assignment?	Proto-Oceanic	Absent	\citet[498]{ross2004morphosyntactic}	True Negative	True Negative	True Negative	True Negative
GB053	GenderAnimacy	Is there a gender/noun class system where animacy is a factor in class assignment?	Proto-Oceanic	Absent	\citet[498]{ross2004morphosyntactic}	True Negative	True Negative	True Negative	True Negative
GB054	GenderPlants	Is there a gender/noun class system where plant status is a factor in class assignment?	Proto-Oceanic	Absent	\citet[498]{ross2004morphosyntactic}	True Negative	True Negative	True Negative	True Negative
GB058	POSSClassifier	Are there possessive classifiers?	Proto-Oceanic	Present	\citet[154]{pawley1973some}, \citet[498]{ross2004morphosyntactic}, \citet[69, 77]{lynchrosscrowley_proto_grammar_oceanic}	True Positive	True Positive	True Positive	True Positive
GB059	POSSAlienability	Is the adnominal possessive construction different for alienable and inalienable nouns?	Proto-Polynesian	Present	\citet[4]{marck2000 encyclo}, \citet[47]{clark1976aspects}	True Positive	True Positive	True Positive	True Positive
GB059	POSSAlienability	Is the adnominal possessive construction different for alienable and inalienable nouns?	Proto-Oceanic	Present	\citet[492, 511-512]{ross2004morphosyntactic}, \citet[69]{lynchrosscrowley_proto_grammar_oceanic}	True Positive	True Positive	True Positive	True Positive
GB065b	POSSOrder_PSD-PSR	NA	Proto-Oceanic	Present	\citet[155-156]{pawley1973some}, \citet[512]{ross2004morphosyntactic}, \citet[77]{lynchrosscrowley_proto_grammar_oceanic}	True Positive	True Positive	True Positive	True Positive
GB068	PredAdjLikeV	Do core adjectives (defined semantically as property concepts such as value, shape, age, dimension) act like verbs in predicative position?	Proto-Oceanic	Present	\citet[63, 74]{lynchrosscrowley_proto_grammar_oceanic}, \citet[113]{pawley1973some}	True Positive	True Positive	True Positive	True Positive
GB070	CoreCaseNoun	Are there morphological cases for non-pronominal core arguments (i.e. S/A/P)?	Proto-Polynesian	Absent	\cite[261-261]{chung1978}	True Negative	True Negative	True Negative	True Negative
GB071	CoreCasePRO	Are there morphological cases for pronominal core arguments (i.e. S/A/P)?	Proto-Central Pacific	Absent	\citet[1]{kikusawa2002proto}	True Negative	True Negative	True Negative	True Negative
GB073	ObliqueCasePRO	Are there morphological cases for independent oblique personal pronominal arguments (i.e. not S/A/P)?	Proto-Central Pacific	Absent	\citet[1]{kikusawa2002proto}	True Negative	True Negative	True Negative	True Negative
GB074	Prepositions	Are there prepositions?	Proto-Polynesian	Present	\citet[26]{chung1978}, \citet[24, 43]{clark1976aspects}	True Positive	True Positive	True Positive	True Positive
GB074	Prepositions	Are there prepositions?	Proto-Oceanic	Present	\citet[167]{pawley1973some}, \citet[498]{ross2004morphosyntactic}	True Positive	True Positive	True Positive	True Positive
GB075	Postpositions	Are there postpositions?	Proto-Oceanic	Absent	\citet[500]{ross2004morphosyntactic}	True Negative	True Negative	True Negative	True Negative
GB079	VPrefixing	Do verbs have prefixes/proclitics, other than those that only mark A, S or P (do include portmanteau: A & S + TAM)?	Proto-Central Pacific	Present	\citet[352]{pawley1970change}	True Positive	True Positive	True Positive	True Positive
GB079	VPrefixing	Do verbs have prefixes/proclitics, other than those that only mark A, S or P (do include portmanteau: A & S + TAM)?	Proto-Oceanic	Present	\citet[142]{pawley1973some}, \citet[292]{ross2007two}, \citet[83]{lynchrosscrowley_proto_grammar_oceanic}	True Positive	True Positive	True Positive	True Positive
GB082	PresentBoundV	Is there overt morphological marking of present tense on verbs?	Proto-Oceanic	Absent	\citet[84]{lynchrosscrowley_proto_grammar_oceanic}	True Negative	True Negative	True Negative	True Negative
GB083	PastBoundV	Is there overt morphological marking on the verb dedicated to past tense?	Proto-Oceanic	Absent	\citet[84]{lynchrosscrowley_proto_grammar_oceanic}	True Negative	True Negative	True Negative	True Negative
GB084	FutureBoundV	Is there overt morphological marking on the verb dedicated to future tense?	Proto-Oceanic	Absent	\citet[84]{lynchrosscrowley_proto_grammar_oceanic}	True Negative	True Negative	True Negative	True Negative
GB089	S-ArgSfxV	Can the S argument be indexed by a suffix/enclitic on the verb in the simple main clause?	Proto-Oceanic	Absent	\citet[498-499]{ross2004morphosyntactic}, \citet[83]{lynchrosscrowley_proto_grammar_oceanic}	True Negative	True Negative	True Negative	True Negative
GB091	A-ArgSfxV	Can the A argument be indexed by a suffix/enclitic on the verb in the simple main clause?	Proto-Oceanic	Absent	\citet[498-499]{ross2004morphosyntactic}, \citet[83]{lynchrosscrowley_proto_grammar_oceanic}	True Negative	True Negative	True Negative	True Negative
GB094	P-ArgPfxV	Can the P argument be indexed by a prefix/proclitic on the verb in the simple main clause?	Proto-Oceanic	Absent	\citet[498-499]{ross2004morphosyntactic}, \citet[83]{lynchrosscrowley_proto_grammar_oceanic}	True Negative	True Negative	True Negative	True Negative
GB113	TransitivizingBound	Are there verbal affixes or clitics that turn intransitive verbs into transitive ones?	Proto-Central Pacific	Present	\citet[352]{pawley1970change}, \citet[4]{marck2000_encyclo}	True Positive	True Positive	True Positive	True Positive
GB113	TransitivizingBound	Are there verbal affixes or clitics that turn intransitive verbs into transitive ones?	Proto-Polynesian	Present	\citet[4]{marck2000_encyclo}, \citet[57]{jonsson1998}, \citet[352]{pawley1970change}	True Positive	True Positive	True Positive	True Positive
GB113	TransitivizingBound	Are there verbal affixes or clitics that turn intransitive verbs into transitive ones?	Proto-Oceanic	Present	\citet[171]{pawley1973some}, \citet[123]{wilson1982proto}, \citet[80, 92]{lynchrosscrowley_proto_grammar_oceanic}, \citet[112]{evans2003study}	True Positive	True Positive	True Positive	True Positive
GB117	CopulaPredNom	Is there a copula for predicate nominals?	Proto-Oceanic	Absent	\citet[86]{lynchrosscrowley_proto_grammar_oceanic}	True Negative	True Negative	True Negative	True Negative
GB121	AUXTense	"Can tense be marked by an inflecting word (""auxiliary verb"")?"	Proto-Oceanic	Absent	\citet[84]{lynchrosscrowley_proto_grammar_oceanic}	True Negative	True Negative	True Negative	True Negative
GB130a	IntransOrder_SV	NA	Proto-Polynesian	Absent	\citet[122]{kikusawa2002proto}	True Negative	True Negative	True Negative	True Negative
GB130b	IntransOrder_VS	NA	Proto-Polynesian	Present	\citet[122]{kikusawa2002proto}	True Positive	True Positive	True Positive	True Positive
