Feature_ID	Feature	Value	Source (Latex)	Source	Comment
GB028	Is there a distinction between inclusive and exclusive?	1	\citet[112]{pawley1973some}, \citet[184]{crowley1985common}, \citet[500]{ross2004morphosyntactic}, \citet[67, 75]{lynchrosscrowley_proto_grammar_oceanic}	Pawley (1973:112); Crowley (1985:184); Ross (2004:500); Lynch, Ross and Crowley (2011:67, 75)	
GB023	Are there postnominal articles?	0	\citet[112]{pawley1973some}, \citet[498]{ross2004morphosyntactic}	Pawley (1973:112); Ross (2004:498)	
GB431	Can adnominal possession be marked by a prefix on the possessed noun?	0	\citet[117]{pawley1973some}, \citet[494, 497]{ross2004morphosyntactic}	Pawley (1973:117); Ross (2004:494, 497)	
GB105	Can the recipient in a ditransitive construction be marked like the monotransitive patient?	0	\citet[118]{pawley1973some}	Pawley (1973:118)	
GB133	Is a pragmatically unmarked constituent order verb-final for transitive clauses?	1	\citet[118]{pawley1973some}	Pawley (1973:118)	
GB131	Is a pragmatically unmarked constituent order verb-initial for transitive clauses?	1	\citet[118]{pawley1973some}, \citet[86]{lynchrosscrowley_proto_grammar_oceanic}	Pawley (1973:118); Lynch, Ross and Crowley (2011:86)	
GB079	Do verbs have prefixes/proclitics, other than those that only mark A, S or P (do include portmanteau: A & S  TAM)?	1	\citet[142]{pawley1973some}, \citet[292]{ross2007two}, \citet[83]{lynchrosscrowley_proto_grammar_oceanic}	Pawley (1973:142); Ross (2007:292); Lynch, Ross and Crowley (2011:83)	
GB140	Is verbal predication marked by the same negator as all of the following types of predication: locational, existential and nominal?	0	\citet[143-6]{pawley1973some}, \citet[88]{lynchrosscrowley_proto_grammar_oceanic}	Pawley (1973:143-146); Lynch, Ross and Crowley (2011:88)	
GB058	Are there possessive classifiers?	1	\citet[154]{pawley1973some}, \citet[498]{ross2004morphosyntactic}, \citet[69, 77]{lynchrosscrowley_proto_grammar_oceanic}	Pawley (1973:154); Ross (2004:498); Lynch, Ross and Crowley (2011: 69, 77)	
GB065	Is the order of possessor noun and possessed noun possessed-possessor?	3	\citet[155-156]{pawley1973some}, \citet[512]{ross2004morphosyntactic}, \citet[77]{lynchrosscrowley_proto_grammar_oceanic}; \citet[76]{lynchrosscrowley_proto_grammar_oceanic}, \citet[155-156]{pawley1973some}	Pawley (1973:155-156); Ross (2004:512); Lynch, Ross and Crowley (2011: 77); Lynch, Ross and Crowley (2011:76); Pawley (1973:155-156)	
GB408	Is there any accusative alignment of flagging?	1	\citet[167]{pawley1973some}, \citet[498]{ross2004morphosyntactic}	Pawley (1973:167); Ross (2004:498)	
GB074	Are there prepositions?	1	\citet[167]{pawley1973some}, \citet[498]{ross2004morphosyntactic}	Pawley (1973:167); Ross (2004:498)	
GB113	Are there verbal affixes or clitics that turn intransitive verbs into transitive ones?	1	\citet[171]{pawley1973some}, \citet[123]{wilson1982proto}, \citet[80, 92]{lynchrosscrowley_proto_grammar_oceanic}, \citet[112]{evans2003study}	Pawley (1973:171); Wilson (1982:123); Lynch, Ross and Crowley (2011:80, 92)	
GB115	Is there a phonologically bound reciprocal marker on the verb?	1	\citet[172]{pawley1973some}, \citet[495, 513]{ross2004morphosyntactic}	Pawley (1973:172); Ross (2004:495,513)	
GB059	Is the adnominal possessive construction different for alienable and inalienable nouns?	1	\citet[492, 511-512]{ross2004morphosyntactic}, \citet[69]{lynchrosscrowley_proto_grammar_oceanic}	Ross (2004:492, 511-512); Lynch, Ross and Crowley (2011:69)	
GB522	"Can the S or A argument be omitted from a pragmatically unmarked clause when the referent is inferrable from context (""pro-drop"" or ""null anaphora"")?"	1	\citet[495]{ross2004morphosyntactic}	Ross (2004:495)	
GB433	Can adnominal possession be marked by a suffix on the possessed noun?	1	\citet[495]{ross2004morphosyntactic}, \citet[155]{pawley1973some}	Ross (2004:495); Pawley (1973:155)	
GB409	Is there any ergative alignment of flagging?	0	\citet[496]{ross2004morphosyntactic}	Ross (2004:496)	
GB132	Is a pragmatically unmarked constituent order verb-medial for transitive clauses?	1	\citet[497]{ross2004morphosyntactic}, \citet[117]{pawley1973some}	Ross (2004:497); Pawley (1973:117)	
GB193	Is the order of the adnominal property and the noun N-ANM?	2	\citet[497]{ross2004morphosyntactic}, \citet[74]{lynchrosscrowley_proto_grammar_oceanic}; 	Ross (2004:497); Lynch, Ross and Crowley (2011:74)	
GB091	Can the A argument be indexed by a suffix/enclitic on the verb in the simple main clause?	0	\citet[498-499]{ross2004morphosyntactic}, \citet[83]{lynchrosscrowley_proto_grammar_oceanic}	Ross (2004:498-499); Lynch, Ross and Crowley (2011:83)	
GB094	Can the P argument be indexed by a prefix/proclitic on the verb in the simple main clause?	0	\citet[498-499]{ross2004morphosyntactic}, \citet[83]{lynchrosscrowley_proto_grammar_oceanic}	Ross (2004:498-499); Lynch, Ross and Crowley (2011:83)	
GB092	Can the A argument be indexed by a prefix/proclitic on the verb in the simple main clause?	1	\citet[498-499]{ross2004morphosyntactic}, \citet[83]{lynchrosscrowley_proto_grammar_oceanic}	Ross (2004:498-499); Lynch, Ross and Crowley (2011:83)	
GB090	Can the S argument be indexed by a prefix/proclitic on the verb in the simple main clause?	1	\citet[498-499]{ross2004morphosyntactic}, \citet[83]{lynchrosscrowley_proto_grammar_oceanic}	Ross (2004:498-499); Lynch, Ross and Crowley (2011:83)	
GB089	Can the S argument be indexed by a suffix/enclitic on the verb in the simple main clause?	0	\citet[498-499]{ross2004morphosyntactic}, \citet[83]{lynchrosscrowley_proto_grammar_oceanic}	Ross (2004:498-499); Lynch, Ross and Crowley (2011:83)	
GB093	Can the P argument be indexed by a suffix/enclitic on the verb in the simple main clause?	1	\citet[498-499]{ross2004morphosyntactic}, \citet[83]{lynchrosscrowley_proto_grammar_oceanic}, \citet[112]{evans2003study}	Ross (2004:498-499); Lynch, Ross and Crowley (2011:83); Evans (2003:112)	
GB030	Is there a gender distinction in independent 3rd person pronouns?	0	\citet[498]{ross2004morphosyntactic}	Ross (2004:498)	
GB051	Is there a gender/noun class system where sex is a factor in class assignment?	0	\citet[498]{ross2004morphosyntactic}	Ross (2004:498)	
GB054	Is there a gender/noun class system where plant status is a factor in class assignment?	0	\citet[498]{ross2004morphosyntactic}	Ross (2004:498)	
GB170	Can an adnominal property word agree with the noun in gender/noun class?	0	\citet[498]{ross2004morphosyntactic}	Ross (2004:498)	
GB172	Can an article agree with the noun in gender/noun class?	0	\citet[498]{ross2004morphosyntactic}	Ross (2004:498)	
GB192	Is there a gender system where a noun's phonological properties are a factor in class assignment?	0	\citet[498]{ross2004morphosyntactic}	Ross (2004:498)	
GB198	Can an adnominal numeral agree with the noun in gender/noun class?	0	\citet[498]{ross2004morphosyntactic}	Ross (2004:498)	
GB432	Can adnominal possession be marked by a suffix on the possessor?	0	\citet[498]{ross2004morphosyntactic}	Ross (2004:498)	
GB052	Is there a gender/noun class system where shape is a factor in class assignment?	0	\citet[498]{ross2004morphosyntactic}	Ross (2004:498)	
GB053	Is there a gender/noun class system where animacy is a factor in class assignment?	0	\citet[498]{ross2004morphosyntactic}	Ross (2004:498)	
GB171	Can an adnominal demonstrative agree with the noun in gender/noun class?	0	\citet[498]{ross2004morphosyntactic}	Ross (2004:498)	
