Feature_ID	ntips_parsimony_glottolog	zeroes_parsimony_glottolog	ones_parsimony_glottolog	min_percent_parsimony_glottolog	min_parsimony_glottolog	Proto-language	Prediction	Feature	Source (Latex)	Source	Comment	Language_ID	conflict	glottolog_parsimony_prediction	glottolog_parsimony_prediction_0	glottolog_parsimony_prediction_1	Parsimony result (Glottolog-tree)	Abbreviation	Question
GB024a	253	155	98	0.38735177865612647	98	Proto-Oceanic	NA	NA	NA	NA	NA	NA	NA	Half	0.5	0.5	NA	GB024a NUMOrder_Num-N	Is the order of the numeral and noun Num-N?
GB024a	253	155	98	0.38735177865612647	98	Proto-Central Pacific	NA	NA	NA	NA	NA	NA	NA	Half	0.5	0.5	NA	GB024a NUMOrder_Num-N	Is the order of the numeral and noun Num-N?
GB024a	253	155	98	0.38735177865612647	98	Proto-Polynesian	NA	NA	NA	NA	NA	NA	NA	Absent	0.6666666666666666	0.3333333333333333	NA	GB024a NUMOrder_Num-N	Is the order of the numeral and noun Num-N?
GB024a	253	155	98	0.38735177865612647	98	Proto-Eastern Polynesian	NA	NA	NA	NA	NA	NA	NA	Present	0	1	NA	GB024a NUMOrder_Num-N	Is the order of the numeral and noun Num-N?
GB024b	253	79	174	0.31225296442687744	79	Proto-Oceanic	NA	NA	NA	NA	NA	NA	NA	Present	0	1	NA	GB024b NUMOrder_N-Num	Is the order of the numeral and noun N-Num?
GB024b	253	79	174	0.31225296442687744	79	Proto-Central Pacific	NA	NA	NA	NA	NA	NA	NA	Present	0	1	NA	GB024b NUMOrder_N-Num	Is the order of the numeral and noun N-Num?
GB024b	253	79	174	0.31225296442687744	79	Proto-Polynesian	NA	NA	NA	NA	NA	NA	NA	Present	0	1	NA	GB024b NUMOrder_N-Num	Is the order of the numeral and noun N-Num?
GB024b	253	79	174	0.31225296442687744	79	Proto-Eastern Polynesian	NA	NA	NA	NA	NA	NA	NA	Present	0	1	NA	GB024b NUMOrder_N-Num	Is the order of the numeral and noun N-Num?
GB025a	258	191	67	0.25968992248062017	67	Proto-Oceanic	0	NA	NA	NA	NA	NA	NA	Absent	1	0	True Negative	GB025a DEMOrder_Dem-N	Is the order of the adnominal demonstrative and noun Dem-N?
GB025a	258	191	67	0.25968992248062017	67	Proto-Central Pacific	NA	NA	NA	NA	NA	NA	NA	Absent	1	0	NA	GB025a DEMOrder_Dem-N	Is the order of the adnominal demonstrative and noun Dem-N?
