Feature_ID	Feature	Value	Source (Latex)	Source	Comment
GB409	Is there any ergative alignment of flagging?				
GB071	Are there morphological cases for pronominal core arguments (i.e. S/A/P)?	0	\citet[1]{kikusawa2002proto}	Kikusawa (2002:1)	
GB073	Are there morphological cases for independent oblique personal pronominal arguments (i.e. not S/A/P)?	0	\citet[1]{kikusawa2002proto}	Kikusawa (2002:1)	
GB133	Is a pragmatically unmarked constituent order verb-final for transitive clauses?	0	\citet[122]{kikusawa2002proto}	Kikusawa (2002:122)	
GB131	Is a pragmatically unmarked constituent order verb-initial for transitive clauses?	1	\citet[122]{kikusawa2002proto}	Kikusawa (2002:122)	
GB130	Is the order of S and V in intranstive clauses SV?	2	\citet[122]{kikusawa2002proto}	Kikusawa (2002:122)	
GB132	Is a pragmatically unmarked constituent order verb-medial for transitive clauses?	0	\citet[122]{kikusawa2002proto}	Kikusawa (2002:122)	
GB410	Is there any neutral alignment of flagging?	1	\citet[147]{kikusawa2002proto}	Kikusawa (2002:147)	
GB520	"Can aspect be marked by a non-inflecting word (""auxiliary particle"")?"	1	\citet[347]{pawley1970change}	Pawley (1973:347)	
GB521	"Can tense be marked by a non-inflecting word (""auxiliary particle"")?"	1	\citet[347]{pawley1970change}	Pawley (1973:347)	
GB079	Do verbs have prefixes/proclitics, other than those that only mark A, S or P (do include portmanteau: A & S  TAM)?	1	\citet[352]{pawley1970change}	Pawley (1973:352)	
GB155	Are causatives formed by affixes or clitics on verbs?	1	\citet[352]{pawley1970change}	Pawley (1973:352)	
GB113	Are there verbal affixes or clitics that turn intransitive verbs into transitive ones?	1	\citet[352]{pawley1970change}, \citet[4]{marck2000_encyclo}	Pawley (1973:352); Marck (2000:4)	
GB115	Is there a phonologically bound reciprocal marker on the verb?	1	\citet[352]{pawley1970change}, \citet[83]{lynchrosscrowley_proto_grammar_oceanic}	Pawley (1970:352); Lynch, Ross and Crowley (2011:83)	
GB020					
GB021					
GB022					
GB023					
GB024					
GB025					
GB026					
GB027					
GB028					
GB030					
GB031					
GB035					
GB036					
GB037					
GB038					
GB039					
GB041					
GB042					
GB043					
GB044					
GB046					
GB047					
GB048					
GB049					
GB051					
GB052					
GB053					
GB054					
GB057					
GB058					
GB059					
GB065					
GB068					
GB069					
GB070					
GB072					
GB074					
GB075					
GB080					
GB081					
GB082					
GB083					
GB084					
GB086					
GB089					
GB090					
GB091					
GB092					
GB093					
GB094					
GB095					
GB096					
GB098					
GB099					
GB103					
GB104					
GB105					
GB107					
GB108					
GB109					
GB110					
GB111					
GB114					
GB116					
GB117					
GB118					
GB119					
GB120					
GB121					
GB122					
GB123					
GB124					
GB126					
GB127					
GB129					
GB134					
GB135					
GB136					
GB137					
GB138					
GB139					
GB140					
GB146					
GB147					
GB148					
GB149					
GB150					
GB151					
GB152					
GB156					
GB158					
GB159					
GB160					
GB165					
GB166					
GB167					
GB170					
GB171					
GB172					
GB177					
GB184					
GB185					
GB186					
GB187					
GB188					
GB192					
GB193					
GB196					
GB197					
GB198					
GB203					
GB204					
GB250					
GB252					
GB253					
GB254					
GB256					
GB257					
GB260					
GB262					
GB263					
GB264					
GB265					
GB266					
GB270					
GB273					
GB275					
GB276					
GB285					
GB286					
GB291					
GB296					
GB297					
GB298					
GB299					
GB300					
GB301					
GB302					
GB303					
GB304					
GB305					
GB306					
GB309					
GB312					
GB313					
GB314					
GB315					
GB316					
GB317					
GB318					
GB319					
GB320					
GB321					
GB322					
GB323					
GB324					
GB325					
GB326					
GB327					
GB328					
GB329					
GB330					
GB331					
GB333					
GB334					
GB335					
GB336					
GB400					
GB401					
GB402					
GB403					
GB408					
GB415					
GB421					
GB422					
GB430					
GB431					
GB432					
GB433					
GB519					
GB522					
