Feature_ID	Feature	Value	Source (Latex)	Source	Comment
GB028	Is there a distinction between inclusive and exclusive?	1	\citet[4]{marck2000 encyclo}	Marck (2000:4)	
GB031	Is there a dual or unit augmented form (in addition to plural or augmented) for all person categories in the pronoun system?	1	\citet[4]{marck2000 encyclo}	Marck (2000:4)	
GB115	Is there a phonologically bound reciprocal marker on the verb?	1	\citet[4]{marck2000 encyclo}	Marck (2000:4)	
GB131	Is a pragmatically unmarked constituent order verb-initial for transitive clauses?	1	\citet[4]{marck2000 encyclo}, \citet[15]{chung1978}, \citet[118]{pawley1973some}, \citet[122]{kikusawa2002proto}	Marck (2000:4); Chung (1978:15); Pawley (1973:118); Kikusawa (2002:122)	
GB059	Is the adnominal possessive construction different for alienable and inalienable nouns?	1	\citet[4]{marck2000 encyclo}, \citet[47]{clark1976aspects}	Marck (2000:4); Clark (1976:47)	
GB113	Are there verbal affixes or clitics that turn intransitive verbs into transitive ones?	1	\citet[4]{marck2000_encyclo}, \citet[57]{jonsson1998}, \citet[352]{pawley1970change}	Marck (2000:4); Jonsson (1998:57); Pawley (1973: 352)	
GB193	Is the order of the adnominal property and the noun N-ANM?	2	\citet[495]{ross2004morphosyntactic}; \citet[xiv]{clark1976aspects}	Ross (2004:495); Clark (1976:xiv)	
GB318	Is plural number regularly marked in the noun phrase by a dedicated phonologically free element?	1	\citet[59]{clark1976aspects}	Clark (1976:59)	
GB327	Can the relative clause follow the noun?	1	\citet[74]{clark1976aspects}	Clark (1976:74)	
GB328	Can the relative clause precede the noun?	0	\citet[74]{clark1976aspects}	Clark (1976:74)	
GB035	Are there three or more distance contrasts in demonstratives?	1	\citet[77]{clark1976aspects}	Clark (1976:77)	
GB022	Are there prenominal articles?	1	\citet[xiv]{clark1976aspects}, \citet[23]{chung1978}, \citet[53]{clark1976aspects} , \citet[136]{crowley1985common}	Clark (1976:xiv, 53); Chung (1978:23); Crowley (1985:136)	
GB023					
GB024					
GB025					
GB026					
GB027					
GB030					
GB036					
GB037					
GB038					
GB039					
GB041					
GB042					
GB043					
GB044					
GB046					
GB047					
GB048					
GB049					
GB051					
GB052					
GB053					
GB054					
GB057					
GB058					
GB065					
GB068					
GB069					
GB071					
GB072					
GB073					
GB075					
GB079					
GB080					
GB081					
GB082					
GB083					
GB084					
GB086					
GB089					
GB090					
GB091					
GB092					
GB093					
GB094					
GB095					
GB096					
GB098					
GB099					
GB103					
GB104					
GB105					
GB107					
GB108					
GB109					
GB110					
GB111					
GB114					
GB116					
GB117					
GB118					
GB119					
GB120					
GB121					
GB122					
GB123					
GB124					
GB126					
GB127					
GB129					
GB134					
GB135					
GB136					
GB137					
GB138					
GB140					
GB146					
GB148					
GB149					
GB150					
GB151					
GB152					
GB155					
GB156					
GB158					
GB159					
GB160					
GB165					
GB166					
GB167					
GB170					
GB171					
GB172					
GB177					
GB184					
GB185					
GB186					
GB187					
GB188					
GB192					
GB196					
GB197					
GB198					
GB203					
GB204					
GB250					
GB252					
GB253					
GB254					
GB256					
GB257					
GB260					
GB262					
GB263					
GB264					
GB265					
GB266					
GB270					
GB273					
GB275					
GB276					
GB285					
GB286					
GB291					
GB296					
GB297					
GB298					
GB300					
GB301					
GB302					
GB303					
GB304					
GB305					
GB306					
GB309					
GB312					
GB313					
GB314					
GB315					
GB316					
GB317					
GB319					
GB320					
GB321					
GB322					
GB323					
GB324					
GB325					
GB326					
GB329					
GB330					
GB331					
GB333					
GB334					
GB335					
GB336					
GB400					
GB401					
GB402					
GB403					
GB410					
GB415					
GB421					
GB422					
GB430					
GB431					
GB432					
GB433					
GB521					
